Title Dataset;DOI Dataset;UUID 4TU;UUID Research output;Type Research output;UUID Dataset;DOI Research output;Title Research output;Date made available
Autonomous Greenhouse Challenge, First Edition (2018);10.4121/uuid:e4987a7b-04dd-4c89-9b18-883aad30ba9a;c362564b-bc9e-40ec-856b-b616bb909183;;;296b73dd-8844-43d2-8255-19a966b42a0f;;;29 Mar 2019
Autonomous Greenhouse Challenge, Second Edition (2019);10.4121/uuid:88d22c60-21b3-4ea8-90db-20249a5be2a7;8b35675d-7549-49cc-a8c3-dedec8d3f23e;;;3e516d88-5d77-4e00-b364-b41e33314e2c;;;2020-08-20 00:00:00
Climate Policy Database;10.4121/12957986;4ab50cc4-a096-4f3a-bcb6-dc42b0c1c0b7;;;2b04e411-6ff7-4b02-88e1-5cea0c012405;;;2022-02-23 00:00:00
Co-creation of a Just-In-Time Adaptive Intervention for healthy dietary changes: focus groups, survey data, beta test;10.4121/17088866;23fa8470-ae6c-45b6-99f1-b1f75a5a7b6a;;;c5c8123a-bf67-4062-a535-fb43f9f252d9;;;13 Mar 2024
Code and secondary data of analysis on pesticide transport during rainfall runoff events;10.4121/19690840;38a35344-c065-46f2-8cb9-3bf56f44f28f;;;b6a442be-731a-4f7e-bf38-05e94cf46021;;;19 May 2022
Cone index and surface soil moisture measurements in selected agricultural fields within the Raam and Twente soil moisture monitoring networks;10.4121/uuid:a451a8b6-b9f1-4cb5-b390-92778e7466f5;9b68cf6e-15cc-41a8-9712-ca32e29b00e8;;;1a9c82f7-b909-4a68-8399-d45dc7249254;;;5 Mar 2019
Data Underlying the publication: Characterization of extracellular vesicles from Streptococcus thermophilus 065 and their potential capacity as immune modulators;10.4121/9d74337b-f44a-4d68-82db-c3b88662268d;9d74337b-f44a-4d68-82db-c3b88662268d;;;81191796-d763-408d-a47f-7f2264c02f89;;;11 Oct 2024
Data Underlying: Expansion Microscopy Reveals Thylakoid Organisation Alterations due to Genetic Mutations and Far-Red Light Acclimation;10.4121/75fa3c66-8505-4d6a-9bd9-16973e5ca885;75fa3c66-8505-4d6a-9bd9-16973e5ca885;;;f3b02f51-a5fa-4ff8-8f0d-7c740d3c740f;;;2025-01-28 00:00:00
Data Underlying: Non-Photochemical Quenching speeds up with increasing temperatures;10.4121/063b000f-0a5e-4f4e-aab5-a9bea6dc34c9;063b000f-0a5e-4f4e-aab5-a9bea6dc34c9;;;d615a9d9-cdbb-424f-88d6-d24d71b75160;;;27 Oct 2025
"Data and code belonging to the article ""Too much of a good thing? Estimating the trade-off between voter turnout and the representativeness of election results when studying turnout shocks.""";10.4121/70a2edc7-5fa9-455c-8eca-3bbf2047bc06;70a2edc7-5fa9-455c-8eca-3bbf2047bc06;;;be0bfe2e-a9e5-4c8a-b3ad-2bf9ea8020ba;;;2024-09-24 00:00:00
Data and model code accompanying publication - The crane radar: development and deployment of an operational eco-digital twin;10.4121/c51224c6-ad49-46cc-b0aa-abc435c038d8;c51224c6-ad49-46cc-b0aa-abc435c038d8;;;def90950-e6b8-466c-b370-621a554ab133;;;2024-12-02 00:00:00
