UUID Research output,Type Research output,UUID Dataset,DOI Research output,Title Research output,Title Dataset,DOI Dataset,group_id,4TU resource_title,4TU resource_doi,4TU references
68b064ea-6a3c-4f83-b2cd-e468e8eea312,"internal PhD, WU",4c08e194-9715-4f5c-8515-55df53d2a3eb,10.18174/591161,Precision nutrition for cardiometabolic health: insights from human dietary intervention studies,"Data underlying the PhD thesis ""Precision nutrition for cardiometabolic health: insights from human dietary intervention studies""",10.4121/4c08e194-9715-4f5c-8515-55df53d2a3eb,28595,,,[]
e187c26d-737b-4f5e-9783-94aa1ef645d4,Report,46fa15ad-85f7-4229-9b8a-e56086b94f41,10.18174/587331,Consumer preference attributes for alternative food products,"Data underlying the publication ""Attributes for consumer acceptance of alternative food products""",10.4121/19298990,28595,,,[]
0f636c92-44cf-44da-886c-9c6942e50c06,Article,aba36166-a8b6-48b5-aafc-31543d6ccc5c,10.1111/faf.12606,Environmental requirements and heterogeneity of rheophilic fish nursery habitats in European lowland rivers,"Data underlying the publication: ""Environmental requirements and heterogeneity of rheophilic fish nursery habitats in European lowland rivers: current insights and future challenges""",10.4121/15066699,28595,,,[]
c6187636-6a22-47c9-b6df-f451e5432494,Preprint,414d3153-49aa-4d5b-8635-a8b35ef8b440,10.21203/rs.3.rs-3975821/v1,Bimodality in subaqueous dune height suggests critical transition at high flow,Data underlying the publication: Bimodality in subaqueous dune height suggests flickering behavior at high flow,10.4121/414d3153-49aa-4d5b-8635-a8b35ef8b440,28595,,,[]
2d57e287-b1b9-4a13-8da7-91ccf578480e,Article,b7df72b2-5841-4022-a56a-6d8073d05190,10.1016/j.marpolbul.2023.115813,"Catchment scale assessment of macroplastic pollution in the Odaw river, Ghana","Data underlying the publication: Catchment scale assessment of macroplastic pollution in the Odaw river, Ghana",10.4121/22274980,28595,,,[]
14101197-1753-40ee-92d3-361eae69df47,Article,ee5c62e1-438a-4a29-be00-1d736579b0e1,10.5194/nhess-25-1993-2025,From insufficient rainfall to livelihoods,Data underlying the publication: From insufficient rainfall to livelihoods: understanding the cascade of drought impacts and policy implications,10.4121/ee5c62e1-438a-4a29-be00-1d736579b0e1,28595,,,[]
4ea4144d-6607-4e53-bb9a-96d61b4e2577,Article,c7935d6a-d6ae-42e7-af7e-0ae8cddf70d7,10.1186/s12870-024-05712-2,Lactuca super-pangenome reduces bias towards reference genes in lettuce research,Data underlying the publication: Lactuca super-pangenome reduces bias towards reference genes in lettuce research,10.4121/c7935d6a-d6ae-42e7-af7e-0ae8cddf70d7,28595,,,[]
5773a4b6-249d-4407-badc-77860594f86c,Article,3011851a-6248-44ce-8a41-8d407bc9d3d0,10.3390/microorganisms11082103,Microbial Recycling of Polylactic Acid Food Packaging Waste into Carboxylates via Hydrolysis and Mixed-Culture Fermentation,Data underlying the publication: Microbial Recycling of PLA Food Packaging Waste into Carboxylates via Hydrolysis and Mixed-Culture Fermentation,10.4121/3011851a-6248-44ce-8a41-8d407bc9d3d0,28595,,,[]
c9f546f3-2558-455c-9b31-b7c320552b7d,Article,8dbd9669-632e-49b7-826f-2473c1bb7270,10.1016/j.watres.2024.121993,Oxygen-to-Ammonium-Nitrogen Ratio as an Indicator for Oxygen Supply Management in Microoxic Bioanodic Ammonium Oxidation,Data underlying the publication: Oxygen-to-Ammonium-Nitrogen Ratio as an Indicator for Oxygen Supply Management in Microoxic Bioanodic Ammonium Oxidation,10.4121/8dbd9669-632e-49b7-826f-2473c1bb7270,28595,,,[]
c69feda0-dd7b-4c36-a3c6-b6cc185fa5f2,Article,c573187d-3526-4c5b-81a1-d6c3d6b528c0,10.1038/s41564-021-00919-7,A slicing mechanism facilitates host entry by plant-pathogenic Phytophthora,Data underlying the publication: Phytophthora pathogens exploit slicing action for host invasion,10.4121/14115461,28595,,,[]
dfa54430-6bdd-48a6-8e3b-1cc650c5291a,Article,de52df77-d6f4-4225-9cb3-d8aeda8dfb07,10.1128/spectrum.02568-22,Quantitative Physiology and Proteome Adaptations of Bifidobacterium breve NRBB57 at Near-Zero Growth Rates,Data underlying the publication: Quantitative physiology and proteomic adaptations of Bifidobacterium breve NRBB57 at near-zero growth rates,10.4121/21960575,28595,,,[]
6ccd1de4-a396-4108-8197-c2b9f2779d32,Article,0244d1f9-7aac-4187-b978-2d81f19a9c05,10.1111/icad.70007,The development of insect diversity and ecosystem complexity on green roofs,Data underlying the publication: Review on effect of Green Roof Factors on Arthropods,10.4121/0244d1f9-7aac-4187-b978-2d81f19a9c05,28595,,,[]
5b593843-d966-48b2-acad-6adf8f5937d6,Preprint,0be15175-28c1-44c5-a153-9d086308da6a,10.21203/rs.3.rs-3452848/v1,Wind- and rain-driven macroplastic mobilization and transport on land,Data underlying the publication: Wind- and rain-driven macroplastic mobilization and transport on land,10.4121/0be15175-28c1-44c5-a153-9d086308da6a,28595,,,[]
8aff2095-92b8-4391-ac5b-0e85fe10a458,Article,5cc26e1a-852c-4282-967d-074cc5c97d51,10.3389/fbioe.2021.666582,nZVI Impacts Substrate Conversion and Microbiome Composition in Chain Elongation From D- and L-Lactate Substrates,Data underlying the publication: nZVI impacts substrate conversion and microbiome composition in lactate-based chain elongation from D- and L-lactate substrates,10.4121/14236922,28595,,,[]
371520bb-4fef-4dc8-b51e-bb1d772a603f,Article,fb1e03d3-5bb2-47d9-a5f4-d4f46b9356e2,10.1016/j.marpolbul.2024.116303,Addition of iron does not ameliorate sulfide toxicity by sargassum influx to mangroves but dampens methane and nitrous oxide emissions,Data underlying the study: Addition of iron does not ameliorate sulfide toxicity by sargassum influx to mangroves but dampens methane and nitrous oxide emissions,10.4121/fb1e03d3-5bb2-47d9-a5f4-d4f46b9356e2,28595,,,[]
0f4b8f2a-7d42-4c0a-903f-4aab728d28a2,"internal PhD, WU",ac081516-5311-481e-b7a2-07c5ea9b1991,10.18174/675700,CRKing the code,Data underlying: Chapter 4. Redox-dependent extracellular interaction networks of Cysteine-rich and Leucine-Rich Repeat Receptor Kinases,10.4121/ac081516-5311-481e-b7a2-07c5ea9b1991,28595,,,[]
0f4b8f2a-7d42-4c0a-903f-4aab728d28a2,"internal PhD, WU",ae5070f2-b6cd-4001-a56b-f1a846898cea,10.18174/675700,CRKing the code,Data underlying: Chapter 5. Redox-dependent extracellular interaction networks of Cysteine-rich Receptor Kinases,10.4121/ae5070f2-b6cd-4001-a56b-f1a846898cea,28595,,,[]
0f4b8f2a-7d42-4c0a-903f-4aab728d28a2,"internal PhD, WU",d88716af-8b6d-421e-a225-93cb9b1a7c16,10.18174/675700,CRKing the code,Data underlying: Chapter 6. CRK28 regulates leaf senescence and defence processes in Arabidopsis,10.4121/d88716af-8b6d-421e-a225-93cb9b1a7c16,28595,,,[]
e70a62a5-d455-4b69-8a39-816dea29ebeb,Preprint,6edb96df-569e-41e8-9e6c-ba0a324c4729,10.5194/egusphere-2023-2726,Mind the Gap: Misalignment Between Drought Monitoring and Community Realities,Data underlyling the publication: Mind the Gap: Misalignment Between Drought Monitoring and Community Realities,10.4121/6edb96df-569e-41e8-9e6c-ba0a324c4729,28595,,,[]
a8c6abb7-309b-4c55-aef7-994372527e86,Article,302cd0fd-59da-46e8-ac82-f98fad865751,10.1038/s43247-024-01295-w,Hydrological drought forecasts using precipitation data depend on catchment properties and human activities,Data used in the paper: Hydrological drought forecasts using precipitation data depend on catchment properties and human activities,10.4121/302cd0fd-59da-46e8-ac82-f98fad865751,28595,,,[]
425506cf-b32e-4f46-addc-429ebc6e9743,Article,df21a682-0c87-4a5e-a050-8101ae58f5b0,10.1016/j.jwpe.2024.105236,Evaluation of chemical free cleaning techniques for reverse electrodialysis stacks fed with natural waters,Dataset for Evaluation of chemical free cleaning techniques for RED fed with natural waters and stacks with profiled membranes,10.4121/df21a682-0c87-4a5e-a050-8101ae58f5b0,28595,,,[]
4b1ad5b3-e29d-4e52-80b7-f35b61d88df4,Article,9da99710-10b9-4221-a6d1-553f754a522f,10.1016/j.marenvres.2023.106291,High temperature and eutrophication alter biomass allocation of black mangrove (Avicennia germinans L.) seedlings,Dataset underlying the study: High temperature and eutrophication alter biomass allocation of black mangrove seedlings,10.4121/9da99710-10b9-4221-a6d1-553f754a522f,28595,,,[]
9c524cf5-f7eb-4173-8236-f9186c8b5b7f,Article,55a5e4dd-2264-4e0d-a358-0cd0b1ee296c,10.1016/j.resconrec.2022.106225,Application of ammonium fertilizers recovered by an Electrochemical System,Experimental data: Application of ammonium fertilizers recovered by an Electrochemical system,10.4121/19064378,28595,,,[]
c99cef5b-337e-405c-bdac-87300260b669,Article,1754d739-a3d8-463a-a020-f7e5e49f92d7,10.1016/j.biteb.2022.101028,Real-time monitoring of biofilm thickness allows for determination of acetate limitations in bio-anodes,Experimental data: Real-time monitoring of biofilm thickness allows for determination of acetate limitations in bio-anodes,10.4121/20200517,28595,,,[]
